camera_name,status,gif_path,city,lat,lng,lat_cam,lng_cam
Woodland Park 1 - McBrideAve,online,gifs/Woodland_Park_1-McBrideAve.gif,Woodland Park,40.8893,-74.1946,40.893597,-74.202344
Woodland Park 2 - Lackawanna Ave,online,gifs/Woodland_Park_2_-Lackawanna_Ave.gif,Woodland Park,40.8893,-74.1946,40.888039,-74.207958
Woodland Park 4 - Andrews Dr,online,gifs/Woodland_Park_4-Andrews_Dr.gif,Woodland Park,40.8893,-74.1946,40.887183,-74.214528
Woodland Park 6 - Memorial Drive,online,gifs/Woodland_Park_6-Memorial_Drive.gif,Woodland Park,40.8893,-74.1946,40.892281,-74.209694
Woodland Park 7 - Hromiak Terrace,online,gifs/Woodland_Park_7-Hromiak_Terrace.gif,Woodland Park,40.8893,-74.1946,40.890111,-74.206736
Cedar Grove 2 - Community park,online,gifs/Cedar_Grove_2_-Community_park.gif,Cedar Grove,40.8579,-74.2296,40.861436,-74.226236
Cedar Grove 3 - Peckmantown rd,online,gifs/Cedar_Grove_3-Peckmantown_rd.gif,Cedar Grove,40.8579,-74.2296,40.854572,-74.229431
Cedar Grove 4 - 13 Commerce Rd,online,gifs/Cedar_Grove_4_-13_Commerce_Rd.gif,Cedar Grove,40.8579,-74.2296,40.864972,-74.224478
Cedar Grove 5 - 525 Pompton Rd,online,gifs/Cedar_Grove_5-525_Pompton_Rd.gif,Cedar Grove,40.8579,-74.2296,40.851719,-74.228736
Cedar Grove 6 - 90 Rugby Road,online,gifs/Cedar_Grove_6_-90_Rugby_Road.gif,Cedar Grove,40.8579,-74.2296,40.84935,-74.222947
Scotch Plains 1 - TD Bank,online,gifs/Scotch_Plains1-TD_Bank.gif,Scotch Plains,40.6554,-74.3899,40.652886,-74.401258
Scotch Plains 2 - Senger Pl,online,gifs/Scotch_Plains_2-_Senger_Pl.gif,Scotch Plains,40.6554,-74.3899,40.6501,-74.399272
Scotch Plains 3 - East Second St,online,gifs/Scotch_Plains_3-East_Second_St.gif,Scotch Plains,40.6554,-74.3899,40.649633,-74.39665
Little Falls 1 - LindsleyRd-CGRd,online,gifs/Little_Falls_1-LindsleyRd-CGRd.gif,Little Falls,40.8826,-74.2293,40.872125,-74.222283
Little Falls 2 - E Main St,online,gifs/Little_Falls_2_-_E_Main_St.gif,Little Falls,40.8826,-74.2293,40.878019,-74.219467
Little Falls 3 - DPW Yard,online,gifs/Little_Falls_3-DPW_Yard.gif,Little Falls,40.8826,-74.2293,40.884669,-74.218119
Little Falls 4 - WilliamsStDairySt,online,gifs/Little_Falls4-WilliamsStDairySt.gif,Little Falls,40.8826,-74.2293,40.888675,-74.242211
Westwood 1 - Westwood Plaza,online,gifs/Westwood_1_-_Westwood_Plaza.gif,Westwood,40.9918,-74.0324,40.997439,-74.040164
Westwood 2 - Fairview Ave,online,gifs/Westwood_2_-_Fairview_Ave.gif,Westwood,40.9918,-74.0324,40.998861,-74.035444
Westwood 3 - Brookside Park,online,gifs/Westwood_3_-_Brookside_Park.gif,Westwood,40.9918,-74.0324,40.998508,-74.030147
Westwood 4 - Bridge By DPW,online,gifs/Westwood_4_-_Bridge_By_DPW.gif,Westwood,40.9918,-74.0324,40.992925,-74.020758
Verona 1 - Sunset Ave,online,gifs/Verona_1_-_Sunset_Ave.gif,Verona,40.829,-74.2399,40.825511,-74.240106
Verona 2 - Bloomfield Ave,online,gifs/Verona_2_-_Bloomfield_Ave.gif,Verona,40.829,-74.2399,40.831219,-74.244
Verona 3 - Franklin St,online,gifs/Verona_3_-_Franklin_St.gif,Verona,40.829,-74.2399,40.836011,-74.242578
Verona 4 - Ozone ave,online,gifs/Verona_4_-_Ozone_ave.gif,Verona,40.829,-74.2399,40.844939,-74.235189
Paterson 1 - Presidential Blvd,online,gifs/Paterson_1_-_Presidential_Blvd.gif,Paterson,40.9168,-74.1718,40.924681,-74.16925
Paterson 2 - 5th Ave and E 6th St,online,gifs/Paterson_2-5th_Ave_and_E_6th_St.gif,Paterson,40.9168,-74.1718,40.936122,-74.161739
